"geocode","municipio","urb2000","rur2000","tot2000","prop_urb2000","prop_rur2000","urb2010","rur2010","tot2010","prop_urb2010","prop_rur2010","pop_estimated2006","pop_estimated2017","urb2006e","rur2006e","urb2017e","rur2017e"
110001,"Alta Floresta D'Oeste",12341,14192,26533,0.465118908529002,0.534881091470998,13970,10422,24392,0.572728763529026,0.427271236470974,29005,25437,16611.9977861594,12393.0022138406,14568.5015578878,10868.4984421122
110037,"Alto Alegre dos Parecis",2449,10259,12708,0.192713251495121,0.807286748504879,3657,9159,12816,0.285346441947566,0.714653558052434,15454,14045,4409.74391385768,11044.2560861423,4007.69077715356,10037.3092228464
110040,"Alto Paraíso",4036,9082,13118,0.30766885195914,0.69233114804086,8202,8933,17135,0.478669390137146,0.521330609862854,16510,20916,7902.83163116428,8607.16836883572,10011.8489641086,10904.1510358914
110034,"Alvorada D'Oeste",8546,11286,19832,0.430919725695845,0.569080274304155,8824,8029,16853,0.523586305108883,0.476413694891117,19542,16747,10231.9235744378,9310.07642556221,8768.49985165846,7978.50014834154
110002,"Ariquemes",55118,19385,74503,0.739809135202609,0.260190864797391,76525,13828,90353,0.846955828804799,0.153044171195201,86924,107345,73620.7884630283,13303.2115369717,90916.4734430511,16428.5265569489
110045,"Buritis",15334,10334,25668,0.597397537790245,0.402602462209755,18122,14261,32383,0.559614612605379,0.440385387394621,42717,39044,23905.057406664,18811.942593336,21849.5929345644,17194.4070654356
110003,"Cabixi",2672,4846,7518,0.355413673849428,0.644586326150572,2693,3620,6313,0.426580072865516,0.573419927134484,7421,6224,3165.65072073499,4255.34927926501,2655.03437351497,3568.96562648503
110060,"Cacaulândia",1850,3522,5372,0.344378257632167,0.655621742367833,2069,3667,5736,0.360704323570432,0.639295676429568,5464,6460,1970.88842398884,3493.11157601116,2330.14993026499,4129.85006973501
110004,"Cacoal",51398,22170,73568,0.698646150500217,0.301353849499783,61921,16653,78574,0.788059663501922,0.211940336498078,76422,88507,60225.0956041439,16196.9043958561,69748.7966375646,18758.2033624354
110070,"Campo Novo de Rondônia",3000,8463,11463,0.261711593823606,0.738288406176394,3371,9294,12665,0.266166600868535,0.733833399131465,18619,14484,4955.75594157126,13663.2440584287,3855.15704697987,10628.8429530201
110080,"Candeias do Jamari",9354,3753,13107,0.713664454108492,0.286335545891508,12887,6892,19779,0.651549623337884,0.348450376662116,17346,25266,11301.7797664189,6044.22023358107,16462.052783255,8803.94721674503
110090,"Castanheiras",774,3438,4212,0.183760683760684,0.816239316239316,836,2739,3575,0.233846153846154,0.766153846153846,4092,3550,956.898461538462,3135.10153846154,830.153846153846,2719.84615384615
110005,"Cerejeiras",14846,3361,18207,0.81540067007195,0.18459932992805,14419,2610,17029,0.846732045334429,0.15326795466557,17215,17934,14576.4921604322,2638.5078395678,15185.2925010277,2748.70749897234
110092,"Chupinguaia",1954,3567,5521,0.353921391052346,0.646078608947654,3663,4638,8301,0.441272135887243,0.558727864112758,6649,10593,2934.01843151428,3714.98156848572,4674.39573545356,5918.60426454644
110006,"Colorado do Oeste",14576,7316,21892,0.665813995980267,0.334186004019733,13657,4934,18591,0.734602764778656,0.265397235221344,18342,18467,13474.0839115701,4867.91608842989,13565.9092571674,4901.09074283255
110007,"Corumbiara",2073,8386,10459,0.1982025050196,0.8017974949804,2590,6193,8783,0.294887851531367,0.705112148468633,9409,8659,2774.59979505864,6634.40020494136,2553.43390641011,6105.56609358989
110008,"Costa Marques",6758,3450,10208,0.662029780564263,0.337970219435737,7497,6181,13678,0.548106448311157,0.451893551688843,11735,17400,6432.02917093142,5302.97082906858,9537.05220061413,7862.94779938587
110094,"Cujubim",3196,3340,6536,0.488984088127295,0.511015911872705,11043,4811,15854,0.696543459063959,0.303456540936041,9238,22443,6434.66847483285,2803.33152516715,15632.5248517724,6810.47514822758
110009,"Espigão D'Oeste",14262,11426,25688,0.555200872002491,0.444799127997509,20610,8119,28729,0.71739357443698,0.28260642556302,27559,33030,19770.6495179087,7788.35048209127,23695.5097636535,9334.49023634655
